,GeoUID,Shape.Area,name,Adjusted.Population..previous.Census.,PR_UID,Type,Region.Name,Area..sq.km.,Population,Dwellings,Households,LowIncome,LowIncPercent,Aboriginal,AborigPercent,VisMinority,VisMinorityPercent
141,2495,12396.62767,La Haute-Côte-Nord (MRC),11546,24,CD,La Haute-Côte-Nord (MRC),12396.62767,10846,5708,4982,17.2,0.001489693,2200,0.190542179,40,0.003464403
142,2496,39872.84518,Manicouagan (MRC),32012,24,CD,Manicouagan (MRC),39872.84518,31027,14844,13738,9.7,0.000303011,3485,0.108865425,310,0.009683869
143,2497,111993.6336,Sept-Rivières--Caniapiscau (CDR),39500,24,CD,Sept-Rivières--Caniapiscau (CDR),111993.6336,39322,19307,16764,9.4,0.000237975,7290,0.184556962,375,0.009493671
144,2498,105021.1672,Minganie--Le Golfe-du-Saint-Laurent (CDR),11708,24,CD,Minganie--Le Golfe-du-Saint-Laurent (CDR),105021.1672,11323,5297,4462,7.8,0.000666211,3485,0.29765972,65,0.005551759
145,2499,852516.4797,Nord-du-Québec (CDR),42579,24,CD,Nord-du-Québec (CDR),852516.4797,44561,16179,13673,11.1,0.000260692,29290,0.68789779,510,0.011977736
146,3501,3324.11469,"Stormont, Dundas and Glengarry (UC)",111164,35,CD,"Stormont, Dundas and Glengarry (UC)",3324.11469,113429,50455,47829,17.9,0.000161023,4845,0.043584254,3865,0.03476845
147,3502,2069.63745,Prescott and Russell (UC),85381,35,CD,Prescott and Russell (UC),2069.63745,89333,36783,35389,10.5,0.000122978,2800,0.032794181,2665,0.031213033
148,3506,2892.07371,Ottawa (CDR),883391,35,CD,Ottawa (CDR),2892.07371,934243,395985,373756,12.6,1.42632E-05,22960,0.025990756,241250,0.273095379
149,3507,3608.53066,Leeds and Grenville (UC),99306,35,CD,Leeds and Grenville (UC),3608.53066,100546,48226,42749,13,0.000130909,3420,0.034439007,2140,0.021549554
150,3509,3198.09977,Lanark (CTY),65667,35,CD,Lanark (CTY),3198.09977,68698,32695,28580,12.8,0.000194923,2605,0.039669849,1305,0.019872996
151,3510,4229.26416,Frontenac (CTY),149753,35,CD,Frontenac (CTY),4229.26416,150475,77155,64295,14,9.34873E-05,5440,0.036326484,11950,0.079798067
152,3511,2976.80423,Lennox and Addington (CTY),41809,35,CD,Lennox and Addington (CTY),2976.80423,42888,19684,17053,12.2,0.000291803,2040,0.048793322,940,0.022483197
153,3512,6337.62419,Hastings (CTY),134934,35,CD,Hastings (CTY),6337.62419,136445,65136,57017,16.3,0.0001208,9850,0.072998651,4760,0.035276506
154,3513,1075.714,Prince Edward (CDR),25258,35,CD,Prince Edward (CDR),1075.714,24735,12899,10728,13.5,0.000534484,735,0.029099691,535,0.021181408
155,3514,1990.81677,Northumberland (CTY),82126,35,CD,Northumberland (CTY),1990.81677,85598,39032,35686,11.6,0.000141246,2275,0.027701337,2875,0.035007184
156,3515,4212.72068,Peterborough (CTY),134928,35,CD,Peterborough (CTY),4212.72068,138236,70551,57743,15.2,0.000112653,6160,0.045653978,5905,0.043764082
